model_family,router_policy,prompt_type,rows,mean_speedup,median_speedup,best_speedup,worst_speedup,slowdown_rate,mean_latency_ms,speculative_share,speculated_mean_speedup,speculated_slowdown_rate
llama,trained_global_router,open_ended,36,1.0174491435892206,1.1660775003871673,1.1790447728018407,0.0796105120111018,0.3333333333333333,3550.7339768333345,1.0,1.017449143589221,0.3333333333333333
llama,trained_global_router,structured_json,36,1.6492273323118316,1.2715175588087608,10.17950085590807,0.0672908182503662,0.3888888888888889,2134.8669294444057,1.0,1.6492273323118314,0.3888888888888889
llama,trained_global_router,summarization,36,1.2347489382221661,1.233809805274106,2.1694758709082143,0.4506671116350785,0.3611111111111111,3149.807945749975,1.0,1.2347489382221661,0.3611111111111111
llama,trained_regime_router,code_completion,36,1.1777363759602335,0.9879581386780263,3.1898591952031765,0.237355747403013,0.5,3414.824081138837,1.0,1.1777363759602335,0.5
llama,trained_regime_router,factual_qa,36,1.0,1.0,1.0,1.0,0.0,3674.442600166628,0.0,1.0,0.0
llama,trained_regime_router,open_ended,36,0.9979320433855224,1.0,1.1790447728018407,0.0809265699565436,0.16666666666666666,3582.248693944507,0.5,0.9958640867710449,0.3333333333333333
llama,trained_regime_router,structured_json,36,1.7365711224907852,0.9730211071017021,12.841767892862556,0.0689041975885971,0.8333333333333334,2717.4152416944253,1.0,1.7365711224907852,0.8333333333333334
llama,trained_regime_router,summarization,36,1.2347489382221661,1.233809805274106,2.1694758709082143,0.4506671116350785,0.3611111111111111,3149.807945749975,1.0,1.2347489382221661,0.3611111111111111
qwen,always_speculate_k1,code_completion,36,0.5498590355017979,0.5402592398004488,0.7036188124385245,0.5350903638085318,1.0,6315.919837388846,1.0,0.5498590355017979,1.0
qwen,always_speculate_k1,factual_qa,36,0.540240964166783,0.5404024766400648,0.546658617528022,0.5346413366836492,1.0,6134.9361176111315,1.0,0.5402409641667831,1.0
qwen,always_speculate_k1,open_ended,36,0.5399879914422427,0.5400447767535836,0.5456792291507087,0.5340344107976327,1.0,6128.843247472181,1.0,0.5399879914422427,1.0
qwen,always_speculate_k1,structured_json,36,0.5418252609880517,0.5393023746851948,0.5927164723426035,0.5341912124189878,1.0,6170.367756027758,1.0,0.5418252609880516,1.0
qwen,always_speculate_k1,summarization,36,0.5391790426785701,0.5396870570234272,0.5450536827305561,0.532649581490851,1.0,6135.213403194282,1.0,0.5391790426785701,1.0
qwen,always_speculate_k2,code_completion,36,0.7425317567987082,0.6936788246723329,1.5008939174366869,0.6812995157821907,0.9444444444444444,4720.011762055455,1.0,0.7425317567987082,0.9444444444444444
qwen,always_speculate_k2,factual_qa,36,0.6336910001001635,0.6181112163501796,0.690742516978898,0.6067121635844371,1.0,5240.002100027898,1.0,0.6336910001001635,1.0
qwen,always_speculate_k2,open_ended,36,0.6232984816577823,0.6187578473427542,0.6547574136446531,0.5979905435485942,1.0,5314.802766388715,1.0,0.6232984816577823,1.0
qwen,always_speculate_k2,structured_json,36,0.6864828593085907,0.6964876501731154,0.8982171659936311,0.6254646962942078,1.0,4888.520828888861,1.0,0.6864828593085908,1.0
qwen,always_speculate_k2,summarization,36,0.6091022618102345,0.6038796684876819,0.6298024511775092,0.5916420660066759,1.0,5432.759715833198,1.0,0.6091022618102344,1.0
qwen,always_speculate_k4,code_completion,36,0.7803018434544549,0.7239261692545824,1.573925748118825,0.6705079677443552,0.9444444444444444,4508.5335989444075,1.0,0.7803018434544549,0.9444444444444444
qwen,always_speculate_k4,factual_qa,36,0.6075872140163151,0.5802348780469422,0.7219017135622914,0.5380846314669105,1.0,5518.37972391661,1.0,0.6075872140163152,1.0
qwen,always_speculate_k4,open_ended,36,0.5923164009083557,0.5993823359794495,0.6100934213634691,0.5665301222574287,1.0,5590.180592277774,1.0,0.5923164009083558,1.0
qwen,always_speculate_k4,structured_json,36,0.7287147431306155,0.7679468619076639,0.9860240576560244,0.5784558846864084,1.0,4688.676986527665,1.0,0.7287147431306156,1.0
qwen,always_speculate_k4,summarization,36,0.55101017606937,0.5334748146041701,0.5963102805714692,0.5254128646392245,1.0,6019.5670686944395,1.0,0.55101017606937,1.0
qwen,always_speculate_k8,code_completion,36,0.6994439711591451,0.648867493635763,1.398791422184143,0.5791429387435603,0.9444444444444444,5051.449126972216,1.0,0.6994439711591451,0.9444444444444444
qwen,always_speculate_k8,factual_qa,36,0.46549725209618437,0.42092408923792474,0.5839552750990386,0.4035297271391614,1.0,7284.47349722204,1.0,0.46549725209618437,1.0
qwen,always_speculate_k8,open_ended,36,0.43942985868694734,0.43454125990098763,0.4587800692116064,0.423519572249422,1.0,7535.831669777761,1.0,0.43942985868694734,1.0
qwen,always_speculate_k8,structured_json,36,0.6297788786391838,0.7082528093280114,0.9175604151406872,0.4243864411212775,1.0,5646.03462216668,1.0,0.6297788786391838,1.0
qwen,always_speculate_k8,summarization,36,0.37234751582477116,0.3564862487218627,0.4300169406916168,0.3314886885543695,1.0,8984.998459194407,1.0,0.3723475158247711,1.0
qwen,never_speculate,code_completion,36,1.0,1.0,1.0,1.0,0.0,3506.046189500037,0.0,1.0,0.0
qwen,never_speculate,factual_qa,36,1.0,1.0,1.0,1.0,0.0,3314.3493959444313,0.0,1.0,0.0
qwen,never_speculate,open_ended,36,1.0,1.0,1.0,1.0,0.0,3309.4390771108615,0.0,1.0,0.0
qwen,never_speculate,structured_json,36,1.0,1.0,1.0,1.0,0.0,3345.769381805553,0.0,1.0,0.0
qwen,never_speculate,summarization,36,1.0,1.0,1.0,1.0,0.0,3307.980440139065,0.0,1.0,0.0
qwen,oracle_per_row,code_completion,36,1.0308806321497666,1.0,1.573925748118825,1.0,0.0,3365.7921233055704,0.05555555555555555,1.5558513786957984,0.0
qwen,oracle_per_row,factual_qa,36,1.0,1.0,1.0,1.0,0.0,3314.3493959444313,0.0,1.0,0.0
qwen,oracle_per_row,open_ended,36,1.0,1.0,1.0,1.0,0.0,3309.4390771108615,0.0,1.0,0.0
qwen,oracle_per_row,structured_json,36,1.0,1.0,1.0,1.0,0.0,3345.769381805553,0.0,1.0,0.0
qwen,oracle_per_row,summarization,36,1.0,1.0,1.0,1.0,0.0,3307.980440139065,0.0,1.0,0.0
qwen,trained_global_router,code_completion,36,1.0,1.0,1.0,1.0,0.0,3506.046189500037,0.0,1.0,0.0
qwen,trained_global_router,factual_qa,36,1.0,1.0,1.0,1.0,0.0,3314.3493959444313,0.0,1.0,0.0
qwen,trained_global_router,open_ended,36,1.0,1.0,1.0,1.0,0.0,3309.4390771108615,0.0,1.0,0.0
qwen,trained_global_router,structured_json,36,1.0,1.0,1.0,1.0,0.0,3345.769381805553,0.0,1.0,0.0
qwen,trained_global_router,summarization,36,1.0,1.0,1.0,1.0,0.0,3307.980440139065,0.0,1.0,0.0
qwen,trained_regime_router,code_completion,36,1.0,1.0,1.0,1.0,0.0,3506.046189500037,0.0,1.0,0.0
qwen,trained_regime_router,factual_qa,36,1.0,1.0,1.0,1.0,0.0,3314.3493959444313,0.0,1.0,0.0
qwen,trained_regime_router,open_ended,36,1.0,1.0,1.0,1.0,0.0,3309.4390771108615,0.0,1.0,0.0
qwen,trained_regime_router,structured_json,36,1.0,1.0,1.0,1.0,0.0,3345.769381805553,0.0,1.0,0.0
qwen,trained_regime_router,summarization,36,1.0,1.0,1.0,1.0,0.0,3307.980440139065,0.0,1.0,0.0
